Cidade,Código da Linha,Nome da Linha,Regiões Atendidas,Horários de Referência,Informações sobre Atrasos
Sarandi,001,Parque Alvamar / Conjunto Floresta,"Parque Alvamar, Jardim Panorama, Centro e Conjunto Floresta",aproximadamente das 5h20 às 22h40,Pode apresentar atrasos de 5 a 10 minutos no trânsito entre Sarandi e Maringá.
Sarandi,254A,Alvamar,"Parque Alvamar, Jardim Panorama e região Norte",aproximadamente das 5h30 às 23h,Pode apresentar pequenas variações no início da manhã e fim da tarde.
Sarandi,254C,Jardim Cometa,"Jardim Cometa, Centro e região Oeste",aproximadamente das 5h10 às 22h45,Pode sofrer atrasos em períodos de maior movimento.
Sarandi,254E,Jardim Esperança,"Jardim Esperança, Centro e bairros próximos",aproximadamente das 5h20 às 22h30,Atrasos podem ocorrer em dias de chuva ou aumento do fluxo de passageiros.
Sarandi,254I,Jardim Independência,"Jardim Independência, Jardim Monte Rey e região Norte/Leste",aproximadamente das 5h15 às 22h50,Pode apresentar demora nos horários de entrada e saída de trabalhadores e estudantes.
Sarandi,254J,Conjunto José Richa,"Conjunto José Richa, Jardim Panorama e região Central",aproximadamente das 5h30 às 22h40,Pode apresentar atrasos pontuais durante o dia.
Sarandi,254L,Jardim Leblon,Jardim Leblon e Centro,aproximadamente das 5h20 às 23h,O tempo de viagem pode variar conforme as condições das vias.
Sarandi,254M,Monte Rey,Jardim Monte Rey e Jardim Independência,aproximadamente das 5h10 às 22h45,Pode apresentar atrasos eventuais nos horários de pico.
Sarandi,254N,Nova Aliança,Jardim Nova Aliança e região Central,aproximadamente das 5h20 às 22h35,Pode ocorrer atraso devido ao trânsito entre bairros e região central.
Sarandi,254O,Ouro Verde,Jardim Ouro Verde e região Sul/Leste,aproximadamente das 5h30 às 22h50,"Obras, acidentes ou chuvas fortes podem provocar atrasos maiores."
